"_id",user_id,account_id,account_name,description,type,amount,date,extra_fields.category.0,extra_fields.category.1,extra_fields.category.2,extra_fields.category_id,extra_fields.merchant_name,extra_fields.name,extra_fields.payment_channel,extra_fields.payment_meta.payment_method,created_at
4D2119A1-03D9-48F2-99B7-FEDD80454431,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-06-08T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
1A6F66DA-2E0F-435D-B10E-E9B5C5A37FE0,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-05-09T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
99F0E0C2-A3CF-4293-87AC-EA2CD82EE3CB,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-04-09T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
28D4C5D0-2DF1-4B9F-8895-109CE77DFAFA,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-03-10T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
77223F04-ACBF-49C8-B101-DAD9B5F2E1A7,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-02-08T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
2B50B3DF-75F6-4056-B600-E14F0EB48720,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2021-01-09T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
4FC75BC3-13BF-4F39-9998-6AE1AC211305,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2020-12-10T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
62505D77-2CEC-4426-A0F3-ACFF56F58DFE,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2020-11-10T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
B9348107-A7F4-4AD9-944B-4C2CE4DB44D8,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2020-10-11T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
4D6708B7-9B4B-4A48-ACB9-DF811D8E1C48,94102846-0B6D-45D8-AFD1-DA80C54F6746,88F8D694-AFF0-4CFC-BBB6-C89D18059472,Chase - Plaid Money Market (4444),ACH Electronic CreditGUSTO PAY 123456,expense,-5850.0,2020-09-11T00:00:00.000Z,Transfer,Debit,,21006000,,ACH Electronic CreditGUSTO PAY 123456,other,ACH,2021-06-18T19:14:32.075Z
